poll_id,pollster,date_published,date_start,date_end,n,method,befragte_raw,zeitraum_raw,cdu_csu,spd,gruene,fdp,afd,linke,bsw,sonstige,raw_vote_share_sum,rejection_reason
433755e3585248cab9b40f068674c957942d317838a69bba0a9858de2a8a8922,Forsa,NA,NA,NA,NA,unknown,NA,NA,39,35,7,10,0,6,NA,3,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
85e13bf6ef38d95625c19aa42eedb7d47085b769e57190ef58e9c5309cb5d844,Forsa,NA,NA,NA,NA,unknown,3.006,07.06.–13.06.,38,36,6,10,0,6,NA,4,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
fa675b629c4506558a88ab8ef321fd2ce682b727b4ede8566741693e3e078134,Forsa,NA,NA,NA,NA,unknown,NA,NA,39,38,7,9,0,4,NA,3,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
bccec50c434a337ff8c2881dd14c32e41fb522a78c110901b6966ae2dcb37e0e,Forsa,NA,NA,NA,NA,unknown,NA,NA,38,40,7,8,0,4,NA,3,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
e13b6661e94f1fe539d2ba26e31d7dcc70be72bcfbc56573c910fe5c809f4298,Forsa,NA,NA,NA,NA,unknown,2.021,NA,0,0,0,0,0,0,NA,0,0,"V1: vote_share_sum=0.0 outside [95,105]; V3: date validity check failed; V5: null in required field (pollster/date_published)"
de643e6597b2ca0a2112334971bb3da00ab54a6dcc1a91e65d196cdfb6189c02,Forsa,NA,NA,NA,NA,unknown,NA,NA,41,36,6,9,0,4,NA,4,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
3c7d5c8e53fbc70cc970dcc442ee81ea9ba6a898d403ffa5afc763e9c8584551,Forsa,NA,NA,NA,NA,unknown,2.016,19.08.–22.08.,40,38,7,8,0,5,NA,2,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
87801a39210b6b3bb2ce072bbdad074b5831f03dda43bb5eaea4bda4472013ff,Forsa,NA,NA,NA,NA,unknown,NA,NA,39,36,7,8,0,6,NA,4,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
1f22d46f00ccae5cbed951aa72ffcaf750c0e0f77c15eb8781580a419ec1f450,Forsa,NA,NA,NA,NA,unknown,NA,NA,40,34,5,10,0,6,NA,5,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
70a239d97e04962717cb202300f306cc666a03e094db73fae579ab8495eb149d,Forsa,NA,NA,NA,NA,unknown,2.507,11.11.–15.11.,48,30,10,4,0,4,NA,4,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
7bb9f824ae05d49d69211a2138fa81a0f680f36fb05f0b4307ae1387789fcd09,Forsch’gr.Wahlen,2013-10-18,2013-10-15,2013-10-17,1183,unknown,1.183,15.10.–17.10.,42,26,8,3,5,10,NA,0,94,"V1: vote_share_sum=94.0 outside [95,105]"
d4a5bf1a6c0a9973df575294e773e3b1dfff157e7f8b63b141ab46afae3e56dd,Forsch’gr.Wahlen,NA,NA,NA,NA,unknown,NA,NA,44,33,12,4,0,4,NA,3,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
89a6540172241d398ee20191fd0cef96d07b37b5ce7028756668b1249d15d906,Forsch’gr.Wahlen,NA,NA,NA,NA,unknown,NA,NA,44,32,12,4,0,4,NA,4,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
a656b6bc3a52f2168eba71e29b2cd744b9267f0e845aad8cf21fcdb9b801612a,Forsch’gr.Wahlen,NA,NA,NA,NA,unknown,NA,NA,42,36,10,4,0,4,NA,4,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
4274ebe047105ce01afdf8b883b4e27a9f5c4819d3f71497eda6d87d2fcdd75a,Forsch’gr.Wahlen,NA,NA,NA,NA,unknown,NA,NA,38,38,9,6,0,4,NA,5,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
1129275cf375e2b9caebc2770efa4f724c7fb0163f8a2254cdcf162a1b845939,Forsch’gr.Wahlen,NA,NA,NA,NA,unknown,NA,NA,43,32,12,6,0,4,NA,3,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
6073c437699d1ee4cc026b5296a3269b8194d134e644f9e8541429bc9ebf0c1c,Forsch’gr.Wahlen,NA,NA,NA,NA,unknown,NA,NA,39,35,12,5,0,4,NA,5,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
233081d04f751dd1f1f0e1b1437d7959f0c014980353a8249bbf588a66d9cde2,Forsch’gr.Wahlen,NA,NA,NA,NA,unknown,NA,NA,41,37,9,5,0,4,NA,4,100,V3: date validity check failed; V5: null in required field (pollster/date_published)
