uuid,publishing_date,Befragte,Zeitraum,mode,survey_count,sampling_start_day,sampling_end_day,party,vote_share
00864335e5525943ea2c107ec592210b08f7e096939574bd1f27bc2129fa8e7b,2017-08-24,O• 1.520,18.08.–22.08.,O,1520,2017-08-18,2017-08-22,SPD,25.0
991e30e0f09031ba4f4c7a943419af0b1c8baf42db1409b944649c8421245da4,2017-08-30,O• 1.557,25.08.–29.08.,O,1557,2017-08-25,2017-08-29,SPD,25.0
5a5ba42f96358def8de80a8a64894e00dcd69b1969d44006072a274486bf8140,2017-09-06,O• 1.617,04.09.–06.09.,O,1617,2017-09-04,2017-09-06,SPD,24.0
fd4297cd22f1b934cf38e22dc63f92c406454f07b676684c79f27ea876f38f1d,2017-09-13,O• 1.600,08.09.–12.09.,O,1600,2017-09-08,2017-09-12,SPD,23.0
4679d2ec0922012802f7e10092f9f8918062efca9bc42aa204818f4fa51f8e51,2017-09-21,O• 1.862,15.09.–19.09.,O,1862,2017-09-15,2017-09-19,SPD,23.0
fcef7444afcfb13860e7dc318617748985dfbd41bacfe6376c9e1d00af1dfcc2,2017-11-29,O• 1.570,24.11.–28.11.,O,1570,2017-11-24,2017-11-28,SPD,21.0
a58a8567bf2b86d97d19ec73b27fad09a50d1695680dd8881935692afd89aca3,2017-12-28,O• 1.489,25.12.–27.12.,O,1489,2017-12-25,2017-12-27,SPD,21.0
217260457eda08166740e1dacb765b7f1b1339ac2fcc160535885c596520565f,2018-01-25,O• 1.566,19.01.–23.01.,O,1566,2018-01-19,2018-01-23,SPD,19.0
45816c39328143db8eadc5ee3b25994b6be4145469beeb857b287fff0de758ec,2018-02-28,O• 1.585,26.02.–28.02.,O,1585,2018-02-26,2018-02-28,SPD,16.0
269b7c5a0cd5ae7fd4fead508c8000067ecb4e90c8bdfa810b4a9ba7f75c38b2,2018-03-28,O• 1.579,23.03.–27.03.,O,1579,2018-03-23,2018-03-27,SPD,17.0
a56420cfdbd75ef44db9c868a64b7d8d9cc80883b7e7e42b379be8ad5cfd6d26,2018-04-25,O• 1.573,20.04.–24.04.,O,1573,2018-04-20,2018-04-24,SPD,18.0
6512bfe2423949c37bc023a9f2da5674712e33b1b6186ad60209d73b463e95da,2018-05-30,O• 1.556,25.05.–29.05.,O,1556,2018-05-25,2018-05-29,SPD,17.0
58da4c96580484f48d378a56aa7648d6c5d9c2580056896c44ba99db126ad67c,2018-06-27,O• 1.525,22.06.–26.06.,O,1525,2018-06-22,2018-06-26,SPD,17.0
e5faa72ade70a65dc3cd3588f216cafb47422529c06787cf97040c2bf427d393,2018-07-25,O• 1.520,20.07.–24.07.,O,1520,2018-07-20,2018-07-24,SPD,17.0
393fae66eab3c4ca7775d4649b511dec7618dbb08101d35236ea72b1318202ea,2018-08-30,O• 1.538,24.08.–28.08.,O,1538,2018-08-24,2018-08-28,SPD,17.0
cb63c7098d6179f30a7e7cbfae3724f0b2a9e83fe4b700c4ca0ac1558b1f8b30,2018-09-27,O• 1.504,21.09.–25.09.,O,1504,2018-09-21,2018-09-25,SPD,17.0
906569ef1410f588e8b8df4b0e58271d3731286acd90adb3661ed5a1313304c9,2018-11-07,O• 1.542,28.10.–04.11.,O,1542,2018-10-28,2018-11-04,SPD,14.0
2fdc75718766fae432858c5442d4f0dbe6fd24a6abc23f288654096f3c18b90c,2018-11-28,O• 1.580,23.11.–27.11.,O,1580,2018-11-23,2018-11-27,SPD,15.0
2fe0b35755518c520c72d88d2bedab1b4a07f2201accf0f105e0fc1ec16c111f,2018-12-28,O• 1.665,21.12.–27.12.,O,1665,2018-12-21,2018-12-27,SPD,16.0
7e023bdea1ad636fc2d8d8dee8b1f2179ecd8a8a4b60771a2757f7860241976e,2019-01-31,O• 1.578,25.01.–29.01.,O,1578,2019-01-25,2019-01-29,SPD,15.0
0984a247024dd706e4c97ddd90be37655a8e8c310a4345b61953495152bacfe0,2019-02-27,O• 1.620,22.02.–26.02.,O,1620,2019-02-22,2019-02-26,SPD,18.0
887b3f35dcafc9a704e767c012675604cc1b6f7cb88b0c3ecfc3e9f5cae7da82,2019-03-28,O• 1.633,22.03.–26.03.,O,1633,2019-03-22,2019-03-26,SPD,18.0
2188ef9591c356b8f79e8aee98e86a950231ea69240f06275fbf92da8d7f6992,2019-05-03,O• 1.642,26.04.–29.04.,O,1642,2019-04-26,2019-04-29,SPD,18.0
3b2f5a51158d6bf36c5f73970455b13ea678f8bc05072306d47a84d2264ed594,2019-05-23,O• 1.609,17.05.–21.05.,O,1609,2019-05-17,2019-05-21,SPD,18.0
0a0a9f92bccdd4eecb0cdd5eaa5855da817df48ca7663404f2217a7e43db5418,2019-07-03,O• 1.644,28.06.–02.07.,O,1644,2019-06-28,2019-07-02,SPD,13.0
fa94db52577bf2de44b2aa709eb8b5f8d97f8e39dcccea6b59908aba546f1584,2019-07-31,O• 1.594,26.07.–29.07.,O,1594,2019-07-26,2019-07-29,SPD,13.0
d229458346f3631cdc3a308dce6d7eab29db21851fc71c37db300aed908aa53c,2019-09-11,O• 1.632,06.09.–10.09.,O,1632,2019-09-06,2019-09-10,SPD,15.0
a2918e68e13ad3c53e7d76b23399bcfba682475e5ad461a694b7adb9e59ebd78,2019-10-03,O• 1.573,27.09.–01.10.,O,1573,2019-09-27,2019-10-01,SPD,13.0
7f3cc5040eeb7298bc6461691caa09da7400d820a255da131827368884079742,2019-11-06,O• 1.583,31.10.–05.11.,O,1583,2019-10-31,2019-11-05,SPD,13.0
30d40e5ea9028a208dfdd7d45c3ecc9fb3e92bed41c0cbd56422239d29d928da,2019-11-27,O• 1.648,22.11.–26.11.,O,1648,2019-11-22,2019-11-26,SPD,13.0
440179a530773dd258ae9eecccd8f8191103bd6ad910cf519beb745bc8070def,2019-12-18,O• 1.586,13.12.–17.12.,O,1586,2019-12-13,2019-12-17,SPD,13.0
0c4ce77f2128e56d9fb33435aab4c543ed8a311f928462dc88dce079550ebbdf,2020-03-06,O• 1.632,28.02.–02.03.,O,1632,2020-02-28,2020-03-02,SPD,15.0
9c6cab8dd865915b144ad126d8c4c2412c41995ce8430dd3272bdbe093b015b5,2020-04-03,O• 1.615,27.03.–30.03.,O,1615,2020-03-27,2020-03-30,SPD,16.0
63691b686ac31183c8b1093ec1cd0c790fcf4fc861c829cf2389bd6123579632,2020-04-30,O• 1.636,23.04.–27.04.,O,1636,2020-04-23,2020-04-27,SPD,16.0
a3efc524070189565db771161d49f45978a5cb2629f7cde1be5fb81de6624393,2020-05-28,O• 1.584,20.05.–26.05.,O,1584,2020-05-20,2020-05-26,SPD,15.0
aa26ea82b63a7ff07de035194f4534e7bedbefd44d1ebbae565ac242441beb23,2020-06-26,O• 1.636,18.06.–22.06.,O,1636,2020-06-18,2020-06-22,SPD,15.0
7b70aae940c5b2055faaf1641948df4e1173e0fa368d9b860b2ae2b12713fd76,2020-08-06,O• 1.623,30.07.–04.08.,O,1623,2020-07-30,2020-08-04,SPD,14.0
32adfe216cc1b1a92b6fb08108e4b21caa92eb749f9a07c08242a6318cbbc4f7,2020-08-28,O• 1.611,20.08.–24.08.,O,1611,2020-08-20,2020-08-24,SPD,16.0
10611012e286bd8b08559050ee7d70c267e1afc8a1d76900ed8dc6c22fc4a08d,2020-09-25,O• 1.623,19.09.–21.09.,O,1623,2020-09-19,2020-09-21,SPD,15.0
